competitionId,teamId,teamMarket,teamName,orbPct,drbPct,astPct,pace,ortg,drtg,ftaRate,tovPct,tovPctAgst,stlPct,blkPct
27168,104209,Seattle U,Redhawks,0.36649,0.70337,0.57221,68.975,93.83782,98.22901,0.28971,0.21675,0.17644,0.11054,0.08188
30629,104381,UTRGV,Vaqueros,0.25463,0.66863,0.49934,71.796,99.38619,109.54048,0.41638,0.1897,0.15499,0.07271,0.08498
30629,103659,Grand Canyon,Lopes,0.3545,0.72481,0.50638,66.491,106.92719,92.08158,0.30904,0.16309,0.16769,0.09987,0.05995
38409,104249,Southern Utah,Thunderbirds,0.31028,0.68766,0.48945,69.369,100.58399,106.25725,0.35742,0.17822,0.13295,0.0729,0.09756
30629,103539,Utah Tech,Trailblazers ,0.28752,0.72292,0.60252,72.624,99.40563,101.57335,0.34566,0.17846,0.16421,0.09206,0.06292
36046,104249,Southern Utah,Thunderbirds,0.2847,0.67565,0.45732,70.055,106.67538,110.34436,0.36217,0.1474,0.15266,0.0929,0.06706
30629,104309,Tarleton St.,Texans,0.28146,0.67355,0.49504,64.405,99.86946,101.01681,0.34343,0.16326,0.21559,0.11782,0.07375
36046,103539,Utah Tech,Trailblazers ,0.28373,0.68492,0.5201,70.544,99.52357,108.3691,0.40545,0.19592,0.16166,0.09319,0.11575
36046,104381,UTRGV,Vaqueros,0.24936,0.68095,0.5305,72.101,96.7971,109.75664,0.40422,0.16984,0.17038,0.11109,0.07302
27168,104390,Utah St.,Aggies,0.37832,0.73206,0.60667,61.159,111.21208,102.71744,0.39487,0.17866,0.13174,0.07802,0.11804
38409,104378,UT Arlington,Mavericks,0.33059,0.6781,0.54568,67.709,108.36151,109.20882,0.36698,0.16717,0.14289,0.08654,0.08003
27249,104202,San Jose St.,Spartans,0.29895,0.65915,0.58182,64.374,102.69656,110.62264,0.32376,0.14156,0.15679,0.07356,0.03313
30629,103454,Chicago St.,Cougars,0.3165,0.67591,0.44,66.219,93.77061,112.31708,0.29167,0.19212,0.16403,0.08453,0.06578
38409,104309,Tarleton St.,Texans,0.30699,0.66867,0.48494,66.993,94.45978,103.88244,0.42193,0.22701,0.21394,0.14016,0.12221
38409,104209,Seattle U,Redhawks,0.30279,0.73798,0.51743,66.468,105.97135,99.90644,0.42635,0.14557,0.19061,0.12186,0.09855
27043,104391,Utah Valley,Wolverines,0.28739,0.71313,0.6197,62.632,107.40227,104.02265,0.38783,0.15322,0.14242,0.07857,0.07581
27168,104382,UTSA,Roadrunners,0.30983,0.65554,0.46465,64.068,99.5058,108.00849,0.36437,0.17684,0.17689,0.09718,0.03902
27168,103535,Denver,Pioneers,0.22676,0.65792,0.69824,58.781,109.9378,94.79222,0.31234,0.1693,0.22811,0.15306,0.13315
30629,104209,Seattle U,Redhawks,0.26407,0.74788,0.52593,70.328,106.00726,94.36638,0.27954,0.14244,0.18157,0.09762,0.10122
30629,104159,SFA,Lumberjacks,0.3512,0.68083,0.5496,70.448,105.38422,96.7679,0.35262,0.1976,0.22012,0.12856,0.11894
33533,104378,UT Arlington,Mavericks,0.34462,0.70841,0.55959,66.297,99.77474,102.82668,0.30596,0.17326,0.18573,0.09587,0.09014
33533,104209,Seattle U,Redhawks,0.29917,0.74437,0.48473,69.037,103.84171,99.60327,0.32514,0.14611,0.1666,0.08828,0.08223
41097,104249,Southern Utah,Thunderbirds,0.29982,0.68576,0.51373,70.682,107.54628,112.03838,0.33368,0.17234,0.13048,0.07854,0.09468
27043,103389,CSU Bakersfield,Roadrunners,0.34486,0.69332,0.50065,64.808,105.97825,104.73426,0.38185,0.17796,0.16772,0.10043,0.10413
33533,104381,UTRGV,Vaqueros,0.30914,0.72529,0.5818,72.92,107.07242,106.39206,0.43305,0.18905,0.15374,0.06447,0.0834
36046,104391,Utah Valley,Wolverines,0.28511,0.73264,0.59551,67.967,100.32296,100.14047,0.35386,0.15587,0.16198,0.10109,0.11867
38409,103260,Abilene Christian,Wildcats,0.31753,0.69808,0.51404,69.655,100.60622,100.16106,0.36098,0.18209,0.21141,0.14685,0.08545
27249,103685,Hawaii,Rainbow Warriors,0.34675,0.66306,0.56886,69.333,104.95987,106.34092,0.43401,0.1842,0.15323,0.08128,0.07867
38409,103407,California Baptist,Lancers,0.33304,0.70394,0.45599,66.077,106.58041,104.75733,0.29713,0.15129,0.15911,0.09903,0.0688
41097,104309,Tarleton St.,Texans,0.32043,0.66731,0.42823,69.856,105.4576,103.86579,0.40948,0.17325,0.21403,0.14642,0.09804
41097,104378,UT Arlington,Mavericks,0.36129,0.71046,0.48067,65.86,105.05555,100.08417,0.4161,0.17445,0.1625,0.11473,0.09884
27043,103454,Chicago St.,Cougars,0.26683,0.63364,0.45489,68.333,100.11778,109.40289,0.34448,0.15204,0.19312,0.12414,0.07566
27043,104381,UTRGV,Vaqueros,0.29377,0.65953,0.5298,65.688,98.03719,105.5498,0.36105,0.15581,0.18392,0.10465,0.06944
30629,104391,Utah Valley,Wolverines,0.3302,0.7498,0.59524,66.936,104.35943,95.43004,0.38168,0.19425,0.14168,0.08008,0.11838
