isOffense,competitionId,teamId,teamMarket,teamName,pfPct,freqChncTr,atr2FgPct,atr2FgaFreq,paint2FgPct,paint2FgaFreq,mid2FgPct,mid2FgaFreq,lane2FgaFreq,lane2FgPct,fga3Rate,fg3Pct
True,33533,103899,Miami (FL),Hurricanes,0.2103,0.1748,0.6635,0.3302,0.4476,0.1601,0.3767,0.1673,0.4902,0.593,0.3424,0.36821
True,38409,103996,North Carolina,Tar Heels,0.2427,0.1958,0.6658,0.3422,0.4036,0.2,0.3958,0.0861,0.5422,0.5691,0.37175,0.35585
False,38409,103996,North Carolina,Tar Heels,0.2477,0.1349,0.6303,0.2585,0.4026,0.2056,0.3761,0.1546,0.4641,0.5294,0.38133,0.33487
False,36046,103996,North Carolina,Tar Heels,0.2669,0.131,0.5599,0.267,0.3912,0.1894,0.3853,0.1854,0.4564,0.4899,0.35818,0.32069
True,36046,103996,North Carolina,Tar Heels,0.2363,0.1836,0.6005,0.3319,0.4092,0.1778,0.3754,0.1296,0.5097,0.5338,0.36074,0.35919
True,30629,103996,North Carolina,Tar Heels,0.2079,0.1468,0.6035,0.3088,0.4115,0.1735,0.3848,0.137,0.4824,0.5344,0.38066,0.35769
False,30629,103996,North Carolina,Tar Heels,0.2377,0.1551,0.6142,0.263,0.3848,0.2289,0.3677,0.1457,0.4919,0.5074,0.36242,0.33707
True,36046,103966,NC State,Wolfpack,0.2386,0.158,0.6667,0.2259,0.4416,0.2654,0.383,0.1756,0.4913,0.5451,0.33306,0.34462
False,36046,103966,NC State,Wolfpack,0.2379,0.1446,0.6245,0.2301,0.4384,0.2662,0.365,0.1354,0.4963,0.5247,0.36836,0.33484
True,27693,104078,Penn St.,Nittany Lions,0.2594,0.1813,0.5831,0.2734,0.3478,0.1325,0.348,0.1748,0.4059,0.5063,0.41933,0.3374
False,27693,104078,Penn St.,Nittany Lions,0.2513,0.134,0.6588,0.3648,0.427,0.1323,0.2952,0.1187,0.4971,0.5971,0.38412,0.34451
False,27693,103730,Indiana,Hoosiers,0.2915,0.1461,0.6494,0.2632,0.3711,0.2294,0.3366,0.1313,0.4925,0.5198,0.37622,0.33333
True,27693,103730,Indiana,Hoosiers,0.2615,0.1542,0.6561,0.2927,0.3805,0.2576,0.3037,0.1265,0.5503,0.5271,0.32318,0.32377
False,27693,103257,Purdue,Boilermakers,0.2798,0.1529,0.626,0.2388,0.405,0.1533,0.3893,0.1545,0.392,0.5396,0.45345,0.31844
True,27693,103257,Purdue,Boilermakers,0.2668,0.1136,0.6024,0.3152,0.4482,0.2055,0.3889,0.1015,0.5207,0.5415,0.37782,0.33333
True,27693,104155,Rutgers,Scarlet Knights,0.2602,0.1884,0.6667,0.3396,0.3531,0.1731,0.3701,0.1538,0.5127,0.5608,0.33354,0.31216
False,27693,104155,Rutgers,Scarlet Knights,0.2389,0.1571,0.6221,0.2971,0.3574,0.1892,0.3059,0.1582,0.4864,0.5191,0.35546,0.32286
True,27693,103977,Nebraska,Huskers,0.2433,0.1664,0.592,0.3286,0.3502,0.1602,0.306,0.0835,0.4888,0.5128,0.42768,0.33236
False,27693,103977,Nebraska,Huskers,0.2397,0.147,0.6406,0.2424,0.4436,0.1577,0.3776,0.1429,0.4001,0.563,0.45702,0.31128
False,27693,103871,Maryland,Terrapins,0.2599,0.122,0.5939,0.2757,0.3924,0.1621,0.2685,0.1446,0.4378,0.5193,0.41756,0.34501
True,27693,103871,Maryland,Terrapins,0.2269,0.1262,0.6965,0.28,0.4031,0.1577,0.3632,0.1296,0.4377,0.5908,0.43276,0.35734
False,27693,104500,Wisconsin,Badgers,0.2491,0.1389,0.6441,0.2652,0.3927,0.2212,0.2922,0.1783,0.4864,0.5298,0.33526,0.33506
True,27693,104500,Wisconsin,Badgers,0.2486,0.0966,0.6529,0.2281,0.3528,0.1899,0.345,0.1733,0.4181,0.5166,0.40864,0.3645
False,27693,103921,Minnesota,Golden Gophers,0.2801,0.1462,0.6037,0.3722,0.2952,0.1574,0.3826,0.1533,0.5296,0.5121,0.31707,0.35165
True,27693,103921,Minnesota,Golden Gophers,0.2644,0.1586,0.5932,0.2781,0.3447,0.1472,0.3654,0.1678,0.4253,0.5072,0.40691,0.28356
False,27693,104041,Ohio St.,Buckeyes,0.2835,0.1429,0.634,0.2971,0.3142,0.1625,0.331,0.1543,0.4596,0.5209,0.38605,0.33855
True,27693,104041,Ohio St.,Buckeyes,0.2753,0.129,0.6444,0.2928,0.4116,0.1646,0.4052,0.1506,0.4574,0.5606,0.39194,0.36
True,27693,103734,Iowa,Hawkeyes,0.2126,0.173,0.6474,0.3269,0.3951,0.1458,0.3775,0.127,0.4727,0.5696,0.40031,0.38344
False,27693,103734,Iowa,Hawkeyes,0.2647,0.1408,0.5878,0.3042,0.3257,0.1533,0.3615,0.1479,0.4575,0.5,0.39461,0.3481
False,27693,103720,Illinois,Fighting Illini,0.2777,0.1436,0.5839,0.2451,0.4048,0.2216,0.3419,0.2077,0.4666,0.4989,0.32568,0.32951
True,27693,103720,Illinois,Fighting Illini,0.2508,0.173,0.6948,0.3711,0.4076,0.1875,0.3784,0.1424,0.5585,0.5984,0.29907,0.37316
False,30629,104078,Penn St.,Nittany Lions,0.2283,0.1313,0.6102,0.2476,0.3621,0.1666,0.3472,0.2068,0.4141,0.5104,0.37909,0.35152
True,30629,104078,Penn St.,Nittany Lions,0.2475,0.0891,0.6304,0.2956,0.3574,0.1536,0.3645,0.125,0.4492,0.5371,0.42582,0.34156
False,30629,103921,Minnesota,Golden Gophers,0.2281,0.1208,0.6279,0.34,0.4211,0.174,0.3607,0.1397,0.514,0.5579,0.34631,0.33719
True,30629,103921,Minnesota,Golden Gophers,0.2168,0.1121,0.5711,0.2772,0.3864,0.1295,0.4194,0.219,0.4067,0.5123,0.37434,0.36792
