key,tables,isKeeper,label1,label2,label3,label4,shortDesc,sign,unit,tipTitle,mainTip,teamTip,playerTip,isLabeled
srp2,other,TRUE,SRP2,SRP2,Short Right Paint 2,Short Right Paint 2,NA,NA,NA,Short Right Paint 2,"Shooting stats on shots in the closer, right corner of the paint (right side, close to hoop)",NA,NA,TRUE
stdError,other,TRUE,Std. Error,Std. Error,NA,NA,NA,pos,num3,Standard Error,The Standard Error is an estimation of the variance of the coefficient estimates.,NA,NA,TRUE
tok3,other,TRUE,TOK3,TOK3,Top of Key 3s,Top of Key 3s,NA,NA,NA,Top of Key 3s,Shooting stats on top of key 3s,NA,NA,TRUE
tovPctAway,other,TRUE,TOV%,TOV% AWAY,Turnover Pct,Turnover Percentage,NA,neg,pct,Turnover Percentage,NA,Percentage of the team's possessions that ended in a turnover.,The percentage of possessions used by the player that ends in a turnover.,TRUE
tValue,other,TRUE,T Stat,T Stat,NA,NA,NA,pos,num2,T-Statistic,"The t-statistic is the coefficient estimate divided by its standard error. The t-statistic is used in a t-test (compute the p-value) to determine whether to support or reject the null hypothesis (that the metric is not predictive of offensive / defensive rating). The greater the absolute value of the t-statistic, the greater the evidence against the null hypothesis.",NA,NA,TRUE
position,other,FALSE,Pos,Pos,NA,NA,"G = Guard, F = Forward, Center",NA,txt,Position,"One of G (guard) or F (forward, center). Positions favor guards (60% of all players), then forwards (30%), with few centers (5%) and missing positions (5%). Due to the very low presence of players labeled as Centers, we have combined centers with forwards.",NA,NA,TRUE
maPf2,article,TRUE,Avail,MA 2PF,NA,NA,NA,pos,num,2-Foul Minutes Available,The total number of possible first half minutes where starters could have played with 2 fouls.,NA,NA,TRUE
mpPf2,article,TRUE,Played,MP 2PF,NA,NA,NA,pos,num,2-Foul Minutes Played,The total number of first half minutes where starters played with 2 fouls.,NA,NA,TRUE
pf2Participation,article,TRUE,2F PART%,2F PART%,2-Foul Participation Rate,2-Foul Participation Rate,NA,pos,pct,2-Foul Participation Rate,The percentage of first half minutes with 2 fouls where the starter was playing.,NA,NA,TRUE
pfw2,article,TRUE,3rd PF,3rd PF,3rd PFs in H1,3rd PFs Commited in 1st Half,NA,neg,int,3rd Fouls Commited in 1st Half,The total number of 3rd fouls committed by a player in the first half of games.,NA,NA,TRUE
pfw0P40,article,TRUE,PF1/40,PF1/40,PF/40 | 0 PFs,PF/40 with 0 PFs,NA,neg,num2,1st Personal Fouls / 40 Mins,"The number of personal fouls committed per 40 minutes played by starters with zero fouls yet committed, in the first half of games.",NA,NA,TRUE
pfw1P40,article,TRUE,PF2/40,PF2/40,PF/40 | 1 PF,PF/40 with 1 PF,NA,neg,num2,2nd Personal Fouls / 40 Mins,"The number of personal fouls committed per 40 minutes played by starters with 1 foul already committed, in the first half of games.",NA,NA,TRUE
pfw01P40,article,TRUE,PF12/40,PF12/40,PF/40 | 1-2 PFs,PF/40 with 1-2 PFs,NA,neg,num2,1st/2nd Personal Fouls / 40 Mins,"The number of personal fouls committed per 40 minutes played by starters with 0 or 1 fouls already committed, in the first half of games.",NA,NA,TRUE
pfw2P40,article,TRUE,PF3/40,PF3/40,PF/40 | 2 PFs,PF/40 with 2 PFs,NA,neg,num2,3rd Personal Fouls / 40 Mins,"The number of personal fouls committed per 40 minutes played by a starter with 2 fouls already committed, in the first half of games.",NA,NA,TRUE
pf2RateDrop,article,TRUE,PF/40 Drop,PF/40 Drop,PF/40 Drop after 2PF,Decrease in PF/40 after 2nd PF,NA,pos,num2,Decrease in PF/40 w/ 2 Fouls,The decrease in a player or teams personal fouls / 40 minutes after picking up 2 fouls in the first half of games. Computed as their PF/40 with 0 or 1 fouls minus their PF/40 with 2 fouls. A large positive value indicates a larger (better) drop in PF/40 with 2 fouls.,NA,NA,TRUE
atr2FgPctSc2,article,TRUE,NA,NA,NA,Rim FG% Allowed w/ Starting Center On w/ 2PF,NA,pos,pct,aa,aa,NA,NA,FALSE
atr2FgaFreqSc2,article,TRUE,NA,NA,NA,Rim FGA% Allowed w/ Starting Center On w/ 2PF,NA,pos,pct,aa,aa,NA,NA,FALSE
atr2FgPctBc,article,TRUE,NA,NA,NA,Rim FG% Allowed w/ Backup Center On,NA,pos,pct,aa,aa,NA,NA,FALSE
atr2FgaFreqBc,article,TRUE,NA,NA,NA,Rim FGA% Allowed w/ Backup Center On,NA,pos,pct,aa,aa,NA,NA,FALSE
avgPossDiff,article,TRUE,Poss Diff,Avg Poss Diff,NA,Average Possession Differential,NA,pos,num2,Average Possession Differential,"The average number of additional possessions by teams in 2 for 1 situations, from the start of the 2 for 1 through the remainder of the period.",NA,NA,TRUE
avgPtsDiff,article,TRUE,Pts Diff,Avg Pts Diff,NA,Average Point Differential,NA,pos,num2,Average Point Differential,"The average point differential by teams in 2 for 1 situations, from the start of the 2 for 1 through the remainder of the period.",NA,NA,TRUE
avgPPPDiff,article,TRUE,PPP Diff,Avg PPP Diff,NA,Average PPP Differential,NA,pos,num3,Average PPP Differential,"The average difference in points per possession by teams in 2 for 1 situations, from the start of the 2 for 1 through the remainder of the period.",NA,NA,TRUE
tmPtsAvg,article,TRUE,Pts,Tm Pts,NA,NA,NA,pos,num2,Team Points Scored,"The average number of points scored by teams in 2 for 1 situations, from the start of the 2 for 1 through the remainder of the period.",NA,NA,TRUE
tmPossAvg,article,TRUE,Poss,Tm Poss,NA,NA,NA,pos,num2,Team Possessions,"The average number of possessions by teams in 2 for 1 situations, from the start of the 2 for 1 through the remainder of the period.",NA,NA,TRUE
tmPPP,article,TRUE,PPP,Tm PPP,NA,NA,NA,pos,num3,Team Points / Possession,"The average points / possession by teams in 2 for 1 situations, from the start of the 2 for 1 through the remainder of the period.",NA,NA,TRUE
oppPtsAvg,article,TRUE,Pts,Opp Pts,NA,NA,NA,pos,num2,Opponent Points Scored,"The average number of points allowed by teams in 2 for 1 situations, to the opposing team, from the start of the 2 for 1 through the remainder of the period.",NA,NA,TRUE
oppPossAvg,article,TRUE,Poss,Opp Poss,NA,NA,NA,pos,num2,Opponent Possessions,"The average number of possessions allowed by teams in 2 for 1 situations, to the opposing team, from the start of the 2 for 1 through the remainder of the period.",NA,NA,TRUE
oppPPP,article,TRUE,PPP,Opp PPP,NA,NA,NA,pos,num3,Opponent Points / Possession,"The average points / possession allowed by teams in 2 for 1 situations, to the opposing team, from the start of the 2 for 1 through the remainder of the period.",NA,NA,TRUE
fga1FgPct,article,TRUE,FG1%,FG1%,NA,NA,NA,pos,pct,FG% on 1st FG,NA,NA,NA,TRUE
rate2F1,article,TRUE,2F1 Rate,2 For 1 Rate,NA,NA,NA,pos,pct,2 For 1 Rate,The percentage of 2 for 1 opportunities (where a team starts a possession with 45 - 60 seconds remaining) where a team shoots or draws a foul leading to free throws with 40+ seconds remaining.,NA,NA,TRUE
secsToFga1Fta1,article,TRUE,Speed,Speed,"Secs to FGA, FTs",Average Secs to FGA or FTs,NA,neg,num2,Average Seconds to FGA or FTs in 2 for 1 Situations,"Given a 2 for 1 situation, the averarge number of seconds passed before a team shoots, or draws a foul leading to free throws.",NA,NA,TRUE
foulOut,article,TRUE,GFO,GFO,NA,NA,NA,neg,int,Games Fouled Out,The total number of player-games where the player fouled out of the game.,NA,NA,TRUE
foulOutRate,article,TRUE,GFO%,GFO%,NA,NA,NA,neg,pct,Games Fouled Out Rate,The percentage of player-games where the player fouled out of the game.,NA,NA,TRUE
foulOutMinsPg,article,TRUE,MPGFO,GFO MPG,NA,NA,NA,pos,num,Minutes / Game in Foul Outs,The number of minutes played per game by players in games where the player fouled out.,NA,NA,TRUE
h1Pf,article,TRUE,H1 PF,H1 PF,NA,NA,NA,neg,txt,Personal Fouls Committed in First Half,The total number of personal fouls committed in the first half of the game.,NA,NA,TRUE
pf2Speed,article,TRUE,2PF Speed,2PF Speed,NA,NA,NA,pos,txt,Game Minutes to 2 Fouls,The number of minutes into a game when a player picked up their 2nd personal foul.,NA,NA,TRUE
mpPf2Bucket,article,TRUE,2FP Mins,2FP Mins,NA,NA,NA,pos,txt,Minutes Played in First Half with 2 Fouls,The number of minutes played by a player in the first half after committing a 2nd personal foul.,NA,NA,TRUE
fgaFreqZoneS01,other,TRUE,FGA%,FGA% (0-10s) Z,FGA% (0-10s) % of Zone,FGA% (0-10s) % of Zone,NA,pos,pct,"FGA Freq, 0 - 10 Seconds Left on Shot Clock (% of Zone)",Percentage of all shots taken in the shot zone that were taken with 0 - 10 seconds remaining on the shot clock.,NA,NA,TRUE
fgaFreqZoneS12,other,TRUE,FGA%,FGA% (10-20s) Z,FGA% (10-20s) % of Zone,FGA% (10-20s) % of Zone,NA,pos,pct,"FGA Freq, 10 - 20 Seconds Left on Shot Clock (% of Zone)",Percentage of all shots taken in the shot zone that were taken with 10 - 20 seconds remaining on the shot clock.,NA,NA,TRUE
fgaFreqZoneS23,other,TRUE,FGA%,FGA% (20-30s) Z,FGA% (20-30s) % of Zone,FGA% (20-30s) % of Zone,NA,pos,pct,"FGA Freq, 20 - 30 Seconds Left on Shot Clock (% of Zone)",Percentage of all shots taken in the shot zone that were taken with 20 - 30 seconds remaining on the shot clock.,NA,NA,TRUE
fgaFreqClockS01,other,TRUE,FGA%,FGA% (0-10s) C,FGA% (0-10s) % of Clock,FGA% (0-10s) % of 0-10s shots,NA,pos,pct,"FGA Freq, 0 - 10 Seconds Left on Shot Clock (% of 0 - 10s shots)",Percentage of all shots taken with 0 - 10 seconds remaining on the shot clock that were taken in the shot zone.,NA,NA,TRUE
fgaFreqClockS12,other,TRUE,FGA%,FGA% (10-20s) C,FGA% (10-20s) % of Clock,FGA% (10-20s) % of 10-20s shots,NA,pos,pct,"FGA Freq, 0 - 10 Seconds Left on Shot Clock (% of 10 - 20s shots)",Percentage of all shots taken with 10 - 20 seconds remaining on the shot clock that were taken in the shot zone.,NA,NA,TRUE
